opentime,value,unrealized_pnl,realized_pnl,commission
2024-05-18 08:52:00,2946.534555354073,0.7023999999994412,0.0,0.0
2024-05-18 08:53:00,2946.534555354073,0.6959999999990687,0.0,0.0
2024-05-18 08:54:00,2946.534555354073,0.1839999999990687,0.0,0.0
2024-05-18 08:55:00,2946.534555354073,-0.21280000000074506,0.0,0.0
2024-05-18 08:56:00,2946.534555354073,-1.6784000000003725,0.0,0.0
2024-05-18 08:57:00,2946.534555354073,-1.1152000000011175,0.0,0.0
2024-05-18 08:58:00,2946.534555354073,-1.6720000000009314,0.0,0.0
2024-05-18 08:59:00,2946.534555354073,-1.3648000000007452,0.0,0.0
2024-05-18 09:00:00,2946.534555354073,-1.8256000000005588,0.0,0.0
2024-05-18 09:01:00,2946.534555354073,-3.2720000000009315,0.0,0.0
2024-05-18 09:02:00,2946.534555354073,-4.251200000001118,0.0,0.0
2024-05-18 09:03:00,2946.534555354073,-4.040000000000932,0.0,0.0
2024-05-18 09:04:00,2946.534555354073,-5.204800000000745,0.0,0.0
2024-05-18 09:05:00,2946.534555354073,-6.913600000000559,0.0,0.0
2024-05-18 09:06:00,2946.534555354073,-6.312000000000931,0.0,0.0
2024-05-18 09:07:00,2946.534555354073,-3.6560000000009314,0.0,0.0
2024-05-18 09:08:00,2946.534555354073,-3.432000000000931,0.0,0.0
2024-05-18 09:09:00,2946.534555354073,-3.2848000000007453,0.0,0.0
2024-05-18 09:10:00,2946.534555354073,-0.7248000000007451,0.0,0.0
2024-05-18 09:11:00,2946.534555354073,-0.0912000000011176,0.0,0.0
2024-05-18 09:12:00,2946.534555354073,-2.0560000000009313,0.0,0.0
2024-05-18 09:13:00,2946.534555354073,-2.004800000000745,0.0,0.0
2024-05-18 09:14:00,2946.534555354073,-1.4480000000009314,0.0,0.0
2024-05-18 09:15:00,2946.534555354073,-4.168000000000932,0.0,0.0
2024-05-18 09:16:00,2946.534555354073,-2.8432000000011177,0.0,0.0
2024-05-18 09:17:00,2946.534555354073,-3.9184000000003727,0.0,0.0
2024-05-18 09:18:00,2946.534555354073,-2.8432000000011177,0.0,0.0
2024-05-18 09:19:00,2946.534555354073,-4.392000000000931,0.0,0.0
2024-05-18 09:20:00,2946.534555354073,-3.553600000000559,0.0,0.0
2024-05-18 09:21:00,2946.534555354073,-4.820800000000745,0.0,0.0
2024-05-18 09:22:00,2946.534555354073,-4.686400000000373,0.0,0.0
2024-05-18 09:23:00,2946.534555354073,-5.716800000000745,0.0,0.0
2024-05-18 09:24:00,2946.534555354073,-5.550400000000373,0.0,0.0
2024-05-18 09:25:00,2946.534555354073,-7.496000000000931,0.0,0.0
2024-05-18 09:26:00,2946.534555354073,-5.064000000000932,0.0,0.0
2024-05-18 09:27:00,2946.534555354073,-6.836800000000745,0.0,0.0
2024-05-18 09:28:00,2946.534555354073,-7.457600000000559,0.0,0.0
2024-05-18 09:29:00,2946.534555354073,-1.7872000000011177,0.0,0.0
2024-05-18 09:30:00,2946.534555354073,-4.052800000000746,0.0,0.0
2024-05-18 09:31:00,2946.534555354073,-2.2416000000005587,0.0,0.0
2024-05-18 09:32:00,2946.534555354073,-3.8544000000003726,0.0,0.0
